COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
19,0,4269.230665,4303.589638,4261.538357,4277.435793,4287.692203,4292.820408,4281.025536,4292.307587,4233.84605,4267.179383,4199.487077,4250.256306,4230.769127,4251.281947,0,2046,2048,0,0,2408,14,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
20,0,4262.051178,4295.897331,4255.384511,4269.230665,4286.153741,4292.820408,4276.410152,4286.153741,4234.871691,4262.051178,4194.358872,4246.666563,4230.769127,4248.205024,0,2045,2049,0,0,2408,14,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
21,0,4263.076819,4293.333228,4248.717845,4264.10246,4279.999895,4292.307587,4275.897331,4279.999895,4233.33323,4258.974255,4186.153744,4243.076819,4232.307589,4248.717845,0,2044,2049,0,0,2408,14,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
22,0,4257.948614,4293.846049,4255.384511,4268.717844,4281.025536,4286.153741,4278.461434,4278.461434,4232.307589,4258.974255,4184.102462,4245.128101,4227.179384,4248.205024,0,2043,2050,0,0,2408,14,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
23,0,4254.871691,4293.846049,4256.922973,4268.205024,4282.051177,4282.563998,4278.461434,4287.179382,4243.58964,4268.717844,4192.82041,4248.205024,4228.205025,4247.692204,0,2043,2049,0,0,2408,14,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
24,0,4259.999896,4292.820408,4252.820409,4262.051178,4279.487075,4282.563998,4278.974254,4291.794767,4247.692204,4274.35887,4196.410154,4247.179383,4235.384512,4246.666563,0,2041,2052,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
25,0,4265.640921,4293.846049,4257.948614,4267.692203,4279.999895,4284.61528,4276.922972,4287.692203,4237.435794,4271.794767,4191.281949,4247.692204,4236.922973,4246.666563,0,2041,2053,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
26,0,4259.999896,4296.922972,4260.512716,4277.948613,4282.563998,4290.256305,4277.948613,4284.102459,4239.999896,4273.333229,4192.30759,4249.743486,4234.871691,4248.205024,0,2042,2048,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
27,0,4246.666563,4296.410151,4251.281947,4271.794767,4281.538357,4289.230664,4278.974254,4280.512716,4247.692204,4274.35887,4191.281949,4240.512717,4232.820409,4247.692204,0,2042,2048,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
28,0,4244.10246,4290.256305,4246.153742,4259.487075,4280.512716,4287.692203,4275.897331,4273.333229,4236.410153,4264.10246,4184.102462,4229.230666,4227.179384,4244.615281,0,2042,2047,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
29,0,4257.948614,4292.307587,4249.743486,4263.076819,4284.102459,4292.307587,4276.410152,4273.846049,4230.769127,4258.974255,4189.230667,4236.922973,4229.743486,4245.128101,0,2043,2045,0,0,2408,57,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
30,0,4267.692203,4301.025536,4256.410152,4276.922972,4291.794767,4290.256305,4278.974254,4278.974254,4239.487076,4267.692203,4196.922974,4249.230665,4245.128101,4249.743486,0,2043,2046,0,0,2408,100,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
31,0,4265.128101,4299.487074,4265.128101,4278.461434,4294.358869,4283.076818,4276.410152,4275.897331,4236.922973,4269.743485,4193.333231,4248.717845,4251.281947,4249.743486,0,2044,2046,0,0,2408,100,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
32,0,4273.846049,4301.538356,4265.640921,4282.563998,4292.307587,4288.717844,4277.948613,4275.384511,4233.84605,4267.179383,4194.871692,4251.794768,4253.84605,4248.717845,0,2044,2046,0,0,2408,100,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
